,ms_id,text
0,0000000001,"Having complete focus on a recipe, and not allowing yourself to be distracted by your thoughts, can have a therapeutic effect."
1,0000000002,Baking is very good for focusing the mind because it often relies on very exact measurements.
2,0000000003,But we can eat in the summer on the balcony and in the winter in the living room.
3,0000000004,"I got the habit of visiting the church cemetery from my father, and of reading the newspaper, too."
4,0000000005,The monkey climbed up the tree and looked down at the river and the lake everyday.
5,0000000006,"And after that, the monkey climbed down from the tree and went to the riverside."
6,0000000007,You say that you are rich and then you say that you do not want to draw the attention to yourself.
7,0000000008,"This blueberry coffee cake is my go-to recipe for all of our holiday get-togethers, because it's perfect for breakfast or dessert."
8,0000000009,"While the oil heats, dredge the chops in the flour, batting off any extra, then in the egg, then in the bread crumbs."
9,0000000010,"I'm telling you, the charming, graceful sick person is just a myth, an urban legend."
10,0000000011,"This was matched by a dive downward by bassoons, bass clarinet, trombones and bass tuba."
11,0000000012,"They helped finish off his birthday cake, while his other family enjoyed a cake too."
12,0000000013,The development is set to transform an old industrial site into an interconnected smart city.
13,0000000014,"Reasonably priced salads, crepes, fresh fish and a large selection of ice cream are served."
14,0000000015,"The two reservoirs fed by the Colorado River watershed, provide a critical supply of drinking water and irrigation for many across the region, including rural farms, ranches and native communities."
15,0000000016,"Okay, but I want the furniture in the living room to be yellow and dark blue."
16,0000000017,A teacher decided to honor each of her students in high school by telling them the difference they each made.
17,0000000018,"First, she told each of them how they had made a difference to her and the class."
18,0000000019,He would rather to sit and read the paper and drink a cup of coffee.
19,0000000020,"Afterwards, the teacher decided to do a class project to see what kind of impact the recognition would have on a community."
20,0000000021,He was just a guy who saw a dirty girl on the street who needed to eat.
21,0000000022,"Last Thursday, wildlife care specialists noticed the snow leopard had a cough and nasal discharge, the zoo said in new release."
22,0000000023,"I decided on my light jacket, pulled it on, and leashed up my bigger dog, Fluffy, to walk first."
23,0000000024,"The snow leopard appears to be doing well and is showing no addition symptoms, the zoo said."
24,0000000025,"She wishes she can run into the ""business man"" who bought her lunches, and say something."
25,0000000026,"You only think about the earth, but you should also consider the sky and the sea."
26,0000000027,It is the water that is the basis of life and drawn up by the clouds from the deep sea.
27,0000000028,"Every week my father would call the boy and get a ""generic"" answering-machine message."
28,0000000029,"It is so nice that every time you look at a sunflower, the whole world starts to smile."
29,0000000030,"I may be scarce, but I am precious for I serve the needs of human life."
30,0000000031,"Red is the color of passion and of love, the red rose, the poinsettia and the poppy."
31,0000000032,"When they had all gone and come back, he called them together to describe what they had seen."
32,0000000033,"People love it, as it was laden with blossoms that smelled so sweet and looked so beautiful."
33,0000000034,I truly witnessed a love that brought me to tears when I got home from work last night.
34,0000000035,Only by forgetting can you walk towards the kind of life that you want with lighter steps.
35,0000000036,"At one point, the elderly couple signaled to me that they were ready to order the meal."
36,0000000037,"When I was younger, I always knew my parents were working hard for the family."
37,0000000038,"As I told him my name was Angela, my mom handed me the soup ladle and hair net to start getting to work."
38,0000000039,A familiar man called me back saying he thought I left something in our mailbox.
39,0000000040,"I reached in and pulled out a huge manila envelope that was bulky, but I couldn't tell what was in it."
40,0000000041,"She opened the first red box, then she found our first super expensive rent bill."
41,0000000042,"As well as dwellings, the proposal would also introduce comprehensive planting to strengthen all boundaries, and ensure the next generation of mature trees and hedgerows, will flourish on the site."
42,0000000043,"I had a feeling I knew who had sent it, but didn't want to tell my mom."
43,0000000044,It was still dark outside so I felt my way to the wall switch and turned on the light.
44,0000000045,I got dressed quickly because I knew both of my dogs would be eager to get outside for their morning walk.
45,0000000046,"Oh, it had been cold and snowy two days ago, and warm and rainy yesterday."
46,0000000047,"I had forgotten to check the weather report for today, however, so I wasn't sure if I needed my light jacket or my heavy coat."
47,0000000048,"I can still remember gazing endlessly at the photographs of granite peaks, roaring waterfalls and magnificent wildlife, and daydreaming about wandering in those landscapes."
48,0000000049,"A single serving of whole grains is one slice of whole-grain bread, or a half cup of oats, or a half cup of brown rice."
49,0000000050,"Eating the whole grain, as our ancestors used to do, provides a host of benefits to the body that are lost when the grain is processed."
50,0000000051,"While my dog sniffed the ground, I opened my heart to the wonder of Nature's creation."
51,0000000052,"In all of its sweet seasons here, it had never failed to touch my soul."
52,0000000053,"The flour in white breads, bagels, pastries and pasta has lost the grain's fibber-rich outer layer during the refining process."
53,0000000054,It had heated my heart on the coldest days and lighted my spirit on the darkest nights.
54,0000000055,"Then I thanked Nature for the love that created the moon, the stars, and me."
55,0000000056,"I don't often eat lunch at work, and tend to just work through the day and eat dinner when I get home."
56,0000000057,"I was having a bad day, it was around four PM and I was struggling to make things happen."
57,0000000058,Gave my twenty-eight-year-old self a snack and a juice box and it was the most caring thing I've ever had a boss do.
58,0000000059,One day my little dog Milo escaped the fenced yard of a friend in Vancouver and ran off.
59,0000000060,"Yellowstone National Park also serves as a time capsule, a sort of 'land that time forgot' in terms of wildlife."
60,0000000061,Small incremental changes in your diet to increase whole-grain intake will make a difference over time.
61,0000000062,They waited for me in a grocery store parking lot until I came to pick him up.
